purchase_month,new_clients,still_active_1m,still_active_2m,still_active_3m,still_active_4m,still_active_5m,still_active_6m,still_active_7m,still_active_8m,still_active_9m,still_active_10m,still_active_11m,still_active_12m
2016-09-01,4,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,321,0,0,0,0,0,1,0,0,1,0,1,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,764,3,2,1,3,1,4,1,1,0,3,1,6
2017-02-01,1752,4,5,2,7,2,4,3,3,4,2,5,3
2017-03-01,2636,13,10,10,9,4,4,8,9,2,10,4,6
2017-04-01,2352,14,5,4,8,6,8,7,7,4,6,2,2
2017-05-01,3596,18,18,14,11,12,15,6,9,11,9,12,9
2017-06-01,3139,15,11,13,8,12,12,7,4,7,10,11,5
2017-07-01,3894,20,14,10,11,8,12,4,7,10,9,12,5
2017-08-01,4184,29,14,11,15,22,12,11,6,6,10,8,4
2017-09-01,4130,28,22,12,19,9,9,10,12,7,11,3,0
2017-10-01,4470,31,11,4,10,9,10,16,12,9,9,0,0
2017-11-01,7304,40,28,13,14,13,8,14,10,4,0,0,0
2017-12-01,5487,14,15,19,15,11,9,3,12,0,0,0,0
2018-01-01,7025,24,27,20,20,11,12,16,0,0,0,0,0
2018-02-01,6451,25,25,19,17,14,13,0,0,0,0,0,0
2018-03-01,6965,32,22,20,9,9,0,0,0,0,0,0,0
2018-04-01,6711,39,21,16,9,0,0,0,0,0,0,0,0
2018-05-01,6622,35,18,14,0,0,0,0,0,0,0,0,0
2018-06-01,5940,25,17,0,1,0,0,0,0,0,0,0,0
2018-07-01,6071,44,2,0,0,0,0,0,0,0,0,0,0
2018-08-01,6271,7,2,0,0,0,0,0,0,0,0,0,0
2018-09-01,5,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0
